Sign,H1 FingerSelection,H1 Aperture,H1 Curve,H1 Bent,H1 Facing,H1 Focus,H1 Width,Dynamic Orientation,Location,Plane,Settings,Path,H2 FingerSelection,H2 Aperture,H2 Curve,H2 Bent,H2 Width,H2 Facing,H2 Focus,Manner,url,labeled_url
скучать,3-rd,closed,curved,straight,ulnar,ulnar,"","",space,horisontal,high-low,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10030--скучать--MVI_1147.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10030--скучать--MVI_1147.mp4?raw=true' target='_blank'>скучать</a>
мониторить,1-st,"",straight,straight,palm,palm,wide,"",space,horisontal,contra-ipsi,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10093--система мониторинга--MVI_1265.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10093--система мониторинга--MVI_1265.mp4?raw=true' target='_blank'>мониторить</a>
двигаться,1-st,"",straight,bent-straight,palm,ulnar,wide,"",space,horisontal,contra-ipsi,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10170--двигаться--MVI_1360.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10170--двигаться--MVI_1360.mp4?raw=true' target='_blank'>двигаться</a>
мямлить,1-st,open-closed,straight,bent,radial,"",pointed,"",head-low,"","","","","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10201--мямлить--MVI_1402.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10201--мямлить--MVI_1402.mp4?raw=true' target='_blank'>мямлить</a>
должен,1-st,"",straight,straight,palm,palm,"","",hand-palm,horisontal,far-near,arc,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10221--должен--MVI_1425.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10221--должен--MVI_1425.mp4?raw=true' target='_blank'>должен</a>
называть,1-st,"",straight,straight,tips,radial,"","",hand-classifier,horisontal,low-high,sraight,thumb,"",straight,straight,"",ulnar,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10244--назвать--MVI_1454.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10244--назвать--MVI_1454.mp4?raw=true' target='_blank'>называть</a>
рассказывать,2-nd,closed-open,curved,straight,tips,ulnar,"","",space,parallel,contra-ipsi,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10250--рассказывать--MVI_1463.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10250--рассказывать--MVI_1463.mp4?raw=true' target='_blank'>рассказывать</a>
тошнить,1-st,"",straight,bent,tips,radial,"","",trunk,"",low-high,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10281--тошнить--MVI_1500.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10281--тошнить--MVI_1500.mp4?raw=true' target='_blank'>тошнить</a>
игнорировать,1-st,open-closed,straight,bent,radial,palm,pointed,"",head-side,"",near-far,arc,"","","","","","","","","https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10307--игнорировать, не обращать внимания--MVI_1531.mp4?raw=true","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10307--игнорировать, не обращать внимания--MVI_1531.mp4?raw=true' target='_blank'>игнорировать</a>"
кивать,"","","","",tips,palm,"","",space,parallel,high-low,iconic,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10386--кивать--MVI_1636.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10386--кивать--MVI_1636.mp4?raw=true' target='_blank'>кивать</a>
записывать,1-st,closed-open,straight,bent,palm,"",pointed,"",hand-palm,horisontal,"","","","","","","",back,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10426--записывать--MVI_1697.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10426--записывать--MVI_1697.mp4?raw=true' target='_blank'>записывать</a>
оскорбить,1-st,open-closed,straight-curved,straight-bent,tips,back,"","",head-low,"",near-far,sraight,"","","","","","","",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10524--оскорблять--MVI_1830.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10524--оскорблять--MVI_1830.mp4?raw=true' target='_blank'>оскорбить</a>
оскорблять,1-st,"",straight-curved,straight,tips,back,"","",head-low,"",near-far,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10524--оскорблять--MVI_1829.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10524--оскорблять--MVI_1829.mp4?raw=true' target='_blank'>оскорблять</a>
предлагать,1-st,"",straight,straight,"",radial,pointed,neutral-supine,trunk,"",low-high,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10529--предлагать--MVI_1836.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10529--предлагать--MVI_1836.mp4?raw=true' target='_blank'>предлагать</a>
пропустить,1-st,open-closed,straight-curved,straight-bent,palm,"",pointed,"",space,horisontal,"","","","","","","","","",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10564--пропустить--MVI_1891.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10564--пропустить--MVI_1891.mp4?raw=true' target='_blank'>пропустить</a>
откупорить,thumb,"",curved,straight,tips,radial,"","",hand-classifier,horisontal,near-far,arc,"","","","","",ulnar,"",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10592--открыть бутылку--MVI_1933.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10592--открыть бутылку--MVI_1933.mp4?raw=true' target='_blank'>откупорить</a>
"душить, подавлять",1-st,open-closed,straight-curved,straight-bent,palm,"",pointed,"",neck,"","","","","","","","","","",symmetrical,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10609--подавлять, унижать--MVI_1952.mp4?raw=true","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10609--подавлять, унижать--MVI_1952.mp4?raw=true' target='_blank'>душить, подавлять</a>"
ориентироваться,1-st,"",straight,straight,ulnar,tips,pointed,neutral-back,hand-palm,horisontal,proxi-distal,sraight,"","","","","",back,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10667--ориентироваться--MVI_2027.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10667--ориентироваться--MVI_2027.mp4?raw=true' target='_blank'>ориентироваться</a>
происходить,1-st,closed-open,curved-straight,bent-straight,palm,tips,"","",hand-back,parallel,high-low,sraight,"","","","","",back,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10677--происходить--MVI_2037.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10677--происходить--MVI_2037.mp4?raw=true' target='_blank'>происходить</a>
должен,1-st,"",straight,straight,palm,palm,"","",hand-palm,horisontal,far-near,arc,"","","","","",back,"",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10697--должен--MVI_2065.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10697--должен--MVI_2065.mp4?raw=true' target='_blank'>должен</a>
перехлестывать,1-st,"",straight,straight,palm,palm,pointed,"",hand-back,horisontal,far-near,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10738--перехлестывать--MVI_2117.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10738--перехлестывать--MVI_2117.mp4?raw=true' target='_blank'>перехлестывать</a>
нападать,1-st,"",straight,straight,palm,tips,wide,"",space,horisontal,x-y,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10743--нападать--MVI_2122.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10743--нападать--MVI_2122.mp4?raw=true' target='_blank'>нападать</a>
шлепать,1-st,"",straight,straight,palm,palm,pointed,"",virtual object,sagittal,far-near,arc,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10782--шлепать по попе--MVI_2178.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10782--шлепать по попе--MVI_2178.mp4?raw=true' target='_blank'>шлепать</a>
миновать,thumb,"",straight,straight,ulnar,palm,"","",hand-classifier,horisontal,proxi-distal,sraight,thumb,"","","","",ulnar,"",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10927--миновать--MVI_2385.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10927--миновать--MVI_2385.mp4?raw=true' target='_blank'>миновать</a>
пройти мимо,1-st,"",straight,straight,palm,ulnar,wide,"",hand-palm,sagittal,proxi-distal,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10928--пройти мимо кого-то в коридоре--MVI_2386.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10928--пройти мимо кого-то в коридоре--MVI_2386.mp4?raw=true' target='_blank'>пройти мимо</a>
платить,1-st,open-closed,straight,bent,back,tips,"","",hand-palm,horisontal,far-near,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10975--платить--MVI_2449.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10975--платить--MVI_2449.mp4?raw=true' target='_blank'>платить</a>
платить.кредиткой,1-st,closed,straight,bent,tips,ulnar,pointed,"",space,horisontal,contra-ipsi,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10979--плата кредитной картой--MVI_2453.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10979--плата кредитной картой--MVI_2453.mp4?raw=true' target='_blank'>платить.кредиткой</a>
клюнуть,1-st,"",curved,straight,tips,tips,"","",space,sagittal,far-near,sraight,"","","","","","","",tense,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11002--клюнуть, клевать--MVI_2477.mp4?raw=true","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11002--клюнуть, клевать--MVI_2477.mp4?raw=true' target='_blank'>клюнуть</a>"
мочиться,1-st,"",straight,straight,root,palm,"","",trunk,"",high-low,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11017--моча--MVI_2499.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11017--моча--MVI_2499.mp4?raw=true' target='_blank'>мочиться</a>
видеть,1-st,"",straight,straight,tips,tips,wide,"",head-mid,horisontal,far-near,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//11018--взглянуть--MVI_2500.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//11018--взглянуть--MVI_2500.mp4?raw=true' target='_blank'>видеть</a>
наказывать,1-st,"",straight,straight,palm,radial,pointed,"",hand-back,parallel,low-high,sraight,"","","","","",back,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//11029--наказывать--MVI_2514.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//11029--наказывать--MVI_2514.mp4?raw=true' target='_blank'>наказывать</a>
вмешиваться,1-st,"",straight,straight,tips,tips,"","",head-mid,sagittal,far-near,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11041--вмешиваться--MVI_2537.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11041--вмешиваться--MVI_2537.mp4?raw=true' target='_blank'>вмешиваться</a>
выполнять,1-st,"",straight,straight,palm,tips,pointed,"",hand-narrow,sagittal,proxi-distal,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11073--выполнять--MVI_2577.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11073--выполнять--MVI_2577.mp4?raw=true' target='_blank'>выполнять</a>
уговаривать,1-st,"",straight,straight,ulnar,tips,"","",space,sagittal,proxi-distal,sraight,"","","","","","","",repeated,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11114--убеждать, уговаривать--MVI_2640.mp4?raw=true","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11114--убеждать, уговаривать--MVI_2640.mp4?raw=true' target='_blank'>уговаривать</a>"
фотографировать,1-st,open,straight-curved,straight,root,back,wide,"",space,horisontal,far-near,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11157--фотография--фотография.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11157--фотография--фотография.mp4?raw=true' target='_blank'>фотографировать</a>
протыкать,1-st,"",straight,straight,tips,tips,"",prone-neutral,hand-palm,sagittal,far-near,sraight,"","","","","",palm,"",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//11190--протыкать--протыкать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//11190--протыкать--протыкать.mp4?raw=true' target='_blank'>протыкать</a>
собирать,1-st,open-closed,straight-curved,straight-bent,ulnar,palm,wide-pointed,"",hand-palm,horisontal,ipsi-contra,arc,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11191--собирать--собирать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11191--собирать--собирать.mp4?raw=true' target='_blank'>собирать</a>
поднимать,1-st,open-closed,straight-curved,straight-bent,tips,root,pointed,"",space,horisontal,low-high,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11192--забирать--забирать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11192--забирать--забирать.mp4?raw=true' target='_blank'>поднимать</a>
проколоть,1-st,"",straight,straight,tips,tips,"",prone-neutral,hand-palm,sagittal,far-near,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11212--проколоть--проколоть.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11212--проколоть--проколоть.mp4?raw=true' target='_blank'>проколоть</a>
защипнуть,1-st,open-closed,straight-curved,straight,tips,tips,"",prone-neutral,space,horisontal,proxi-distal,sraight,"","","","","","","","","https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11234--защипнуть, щипать--защипнуть, щипать.mp4?raw=true","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11234--защипнуть, щипать--защипнуть, щипать.mp4?raw=true' target='_blank'>защипнуть</a>"
писать,1-st,"",straight,straight,root,tips,"","",trunk,"",near-far,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11251--писать--писать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11251--писать--писать.mp4?raw=true' target='_blank'>писать</a>
играть,1-st,closed,straight,bent,back,tips,pointed,"",space,horisontal,low-high,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11309--игра--игра.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11309--игра--игра.mp4?raw=true' target='_blank'>играть</a>
сядь,1-st,"",straight-curved,straight,palm,tips,pointed,"",space,horisontal,proxi-distal,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/1999-Сядь! (2)_3g2_Output_136.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/1999-Сядь! (2)_3g2_Output_136.mp4?raw=true' target='_blank'>сядь</a>
отказываться,1-st,"",straight,bent-straight,palm,tips,pointed,"",hand-palm,"",proxi-distal,sraight,"","","","","","","",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2580--отказываться--MVI_1015_3g2_Output_539.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2580--отказываться--MVI_1015_3g2_Output_539.mp4?raw=true' target='_blank'>отказываться</a>
сокращать,1-st,open-closed,straight-curved,"",palm,"",pointed,"",space,parallel,"","","","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2583--сокращать--MVI_1018_3g2_Output_542.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2583--сокращать--MVI_1018_3g2_Output_542.mp4?raw=true' target='_blank'>сокращать</a>
отменить,1-st,"",straight,straight,"",ulnar,pointed,"",space,parallel,high-low,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2597--отменить--MVI_1035_3g2_Output_557.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2597--отменить--MVI_1035_3g2_Output_557.mp4?raw=true' target='_blank'>отменить</a>
восхвалять,1-st,"",straight,straight,"",palm,wide,"",space,parallel,low-high,vawe,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2663--восхвалять--MVI_1125_3g2_Output_622.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2663--восхвалять--MVI_1125_3g2_Output_622.mp4?raw=true' target='_blank'>восхвалять</a>
размещать,1-st,open-closed,"","",palm,tips,wide-pointed,"",space,parallel,far-near,arc,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2666--размещать--MVI_1129_3g2_Output_626.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2666--размещать--MVI_1129_3g2_Output_626.mp4?raw=true' target='_blank'>размещать</a>
сопровождать,1-st,"",straight,straight,root,ulnar,"","",space,horisontal,proxi-distal,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2669--сопровождать--MVI_1132_3g2_Output_629.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2669--сопровождать--MVI_1132_3g2_Output_629.mp4?raw=true' target='_blank'>сопровождать</a>
обвинять,1-st,closed,"","",root,tips,pointed,"",hand-back,horisontal,x-y,sraight,"","","","","",palm,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//2682--обвинять--MVI_1150_3g2_Output_642.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//2682--обвинять--MVI_1150_3g2_Output_642.mp4?raw=true' target='_blank'>обвинять</a>
отложить,1-st,"",straight,straight,palm,palm,pointed,"",virtual object,horisontal,ipsi-contra,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2766--отложить.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2766--отложить.mp4?raw=true' target='_blank'>отложить</a>
продвигать,"","","","",ulnar,radial,"",neutral-supine,space,horisontal,low-high,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//2803--продвигать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//2803--продвигать.mp4?raw=true' target='_blank'>продвигать</a>
влиять,1-st,closed,straight-curved,bent,ulnar,back,pointed,"",space,horisontal,x-y,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//2836--влиять на.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//2836--влиять на.mp4?raw=true' target='_blank'>влиять</a>
ухудшать,1-st,"",straight,straight,radial,palm,pointed,"",hand-palm,sagittal,high-low,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2862--ухудшать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2862--ухудшать.mp4?raw=true' target='_blank'>ухудшать</a>
предупреждать,1-st,"",straight-curved,"",tips,back,"","",head-high,"",near-far,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2936--предупреждать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2936--предупреждать.mp4?raw=true' target='_blank'>предупреждать</a>
облегчать,1-st,"","",straight-bent,tips,palm,pointed,"",head-low,"",contra-ipsi,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2963--облегчать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2963--облегчать.mp4?raw=true' target='_blank'>облегчать</a>
размещать,1-st,open-closed,straight,"",palm,tips,wide-pointed,"",space,horisontal,far-near,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2968--размещать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2968--размещать.mp4?raw=true' target='_blank'>размещать</a>
разрешать,1-st,closed,curved,"",ulnar,tips,"","",space,horisontal,proxi-distal,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2970--позволять разрешать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2970--позволять разрешать.mp4?raw=true' target='_blank'>разрешать</a>
изменять,1-st,"",straight,straight,palm,"",wide,"",hand-palm,horisontal,"",circle-clock,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2992--изменять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2992--изменять.mp4?raw=true' target='_blank'>изменять</a>
изменять к лучшему,1-st,"",straight,straight,radial,back,pointed,"",hand-palm,sagittal,low-high,sraight,"","","","","",back,"",laceration,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3026--изменять к лучшеиу.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3026--изменять к лучшеиу.mp4?raw=true' target='_blank'>изменять к лучшему</a>
объявлять,1-st,"",straight-curved,"",tips,back,"","",head-high,"",near-far,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3114--объявлять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3114--объявлять.mp4?raw=true' target='_blank'>объявлять</a>
аннулировать,1-st,"",straight,straight,tips,ulnar,pointed,"",space,parallel,high-low,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3123--аннулировать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3123--аннулировать.mp4?raw=true' target='_blank'>аннулировать</a>
